2024-01-06 21:23:47,678 - Server is listening on 127.0.0.1:8080
2024-01-06 21:33:50,833 - Connection with ('127.0.0.1', 53075) closed.
2024-01-06 21:33:51,840 - Connection with ('127.0.0.1', 53076) closed.
2024-01-06 21:38:42,783 - Connection established with ('127.0.0.1', 53192)
2024-01-06 21:38:42,786 - Received message from ('127.0.0.1', 53192): ALIVE
2024-01-06 21:38:43,784 - Connection established with ('127.0.0.1', 53193)
2024-01-06 21:38:43,784 - Received message from ('127.0.0.1', 53193): HUMIDITY|86.79|01.06.2024:21:38:43
2024-01-06 21:38:44,789 - Connection established with ('127.0.0.1', 53194)
2024-01-06 21:38:44,789 - Received message from ('127.0.0.1', 53194): HUMIDITY|85.96|01.06.2024:21:38:44
2024-01-06 21:38:45,794 - Connection established with ('127.0.0.1', 53196)
2024-01-06 21:38:45,794 - Received message from ('127.0.0.1', 53196): ALIVE
2024-01-06 21:38:48,806 - Connection established with ('127.0.0.1', 53197)
2024-01-06 21:38:48,806 - Received message from ('127.0.0.1', 53197): ALIVE
2024-01-06 21:38:50,814 - Connection established with ('127.0.0.1', 53200)
2024-01-06 21:38:50,814 - Received message from ('127.0.0.1', 53200): HUMIDITY|86.03|01.06.2024:21:38:50
2024-01-06 21:39:42,801 - Connection with ('127.0.0.1', 53192) closed.
2024-01-06 21:39:43,809 - Connection with ('127.0.0.1', 53193) closed.
2024-01-06 21:39:44,819 - Connection with ('127.0.0.1', 53194) closed.
2024-01-06 21:39:45,798 - Connection with ('127.0.0.1', 53196) closed.
2024-01-06 21:39:48,886 - Connection with ('127.0.0.1', 53197) closed.
2024-01-06 21:39:50,815 - Connection with ('127.0.0.1', 53200) closed.
2024-01-06 21:40:27,843 - Connection established with ('127.0.0.1', 53244)
2024-01-06 21:40:27,844 - Received message from ('127.0.0.1', 53244): ALIVE
2024-01-06 21:40:29,854 - Connection established with ('127.0.0.1', 53245)
2024-01-06 21:40:29,854 - Received message from ('127.0.0.1', 53245): HUMIDITY|87.49|01.06.2024:21:40:29
2024-01-06 21:40:55,022 - Connection established with ('127.0.0.1', 53256)
2024-01-06 21:40:55,023 - Received message from ('127.0.0.1', 53256): HUMIDITY|83.92|01.06.2024:21:40:55
2024-01-06 21:40:56,023 - Connection established with ('127.0.0.1', 53258)
2024-01-06 21:40:56,023 - Received message from ('127.0.0.1', 53258): HUMIDITY|83.97|01.06.2024:21:40:56
2024-01-06 21:40:57,028 - Connection established with ('127.0.0.1', 53259)
2024-01-06 21:40:57,029 - Received message from ('127.0.0.1', 53259): ALIVE
2024-01-06 21:41:00,043 - Connection established with ('127.0.0.1', 53260)
2024-01-06 21:41:00,044 - Received message from ('127.0.0.1', 53260): ALIVE
2024-01-06 21:41:01,049 - Connection established with ('127.0.0.1', 53261)
2024-01-06 21:41:01,049 - Received message from ('127.0.0.1', 53261): HUMIDITY|86.83|01.06.2024:21:41:01
2024-01-06 21:41:03,053 - Connection established with ('127.0.0.1', 53264)
2024-01-06 21:41:03,053 - Received message from ('127.0.0.1', 53264): ALIVE
2024-01-06 21:41:06,067 - Connection established with ('127.0.0.1', 53266)
2024-01-06 21:41:06,068 - Received message from ('127.0.0.1', 53266): ALIVE
2024-01-06 21:41:09,083 - Connection established with ('127.0.0.1', 53267)
2024-01-06 21:41:09,083 - Received message from ('127.0.0.1', 53267): ALIVE
2024-01-06 21:41:12,097 - Connection established with ('127.0.0.1', 53269)
2024-01-06 21:41:12,097 - Received message from ('127.0.0.1', 53269): ALIVE
2024-01-06 21:41:15,112 - Connection established with ('127.0.0.1', 53278)
2024-01-06 21:41:15,113 - Received message from ('127.0.0.1', 53278): ALIVE
2024-01-06 21:41:18,124 - Connection established with ('127.0.0.1', 53280)
2024-01-06 21:41:18,124 - Received message from ('127.0.0.1', 53280): ALIVE
2024-01-06 21:41:21,138 - Connection established with ('127.0.0.1', 53281)
2024-01-06 21:41:21,138 - Received message from ('127.0.0.1', 53281): ALIVE
2024-01-06 21:41:24,153 - Connection established with ('127.0.0.1', 53282)
2024-01-06 21:41:24,153 - Received message from ('127.0.0.1', 53282): ALIVE
2024-01-06 21:41:27,169 - Connection established with ('127.0.0.1', 53284)
2024-01-06 21:41:27,169 - Received message from ('127.0.0.1', 53284): ALIVE
2024-01-06 21:41:27,876 - Connection with ('127.0.0.1', 53244) closed.
2024-01-06 21:41:29,179 - Connection established with ('127.0.0.1', 53285)
2024-01-06 21:41:29,179 - Received message from ('127.0.0.1', 53285): HUMIDITY|82.14|01.06.2024:21:41:29
2024-01-06 21:41:29,883 - Connection with ('127.0.0.1', 53245) closed.
2024-01-06 21:41:30,182 - Connection established with ('127.0.0.1', 53286)
2024-01-06 21:41:30,182 - Received message from ('127.0.0.1', 53286): ALIVE
2024-01-06 21:41:33,197 - Connection established with ('127.0.0.1', 53287)
2024-01-06 21:41:33,198 - Received message from ('127.0.0.1', 53287): ALIVE
2024-01-06 21:41:36,212 - Connection established with ('127.0.0.1', 53290)
2024-01-06 21:41:36,212 - Received message from ('127.0.0.1', 53290): ALIVE
2024-01-06 21:41:38,222 - Connection established with ('127.0.0.1', 53291)
2024-01-06 21:41:38,223 - Received message from ('127.0.0.1', 53291): HUMIDITY|86.79|01.06.2024:21:41:38
2024-01-06 21:41:39,227 - Connection established with ('127.0.0.1', 53292)
2024-01-06 21:41:39,228 - Received message from ('127.0.0.1', 53292): ALIVE
2024-01-06 21:41:42,243 - Connection established with ('127.0.0.1', 53293)
2024-01-06 21:41:42,244 - Received message from ('127.0.0.1', 53293): ALIVE
2024-01-06 21:41:45,257 - Connection established with ('127.0.0.1', 53295)
2024-01-06 21:41:45,257 - Received message from ('127.0.0.1', 53295): ALIVE
2024-01-06 21:41:47,266 - Connection established with ('127.0.0.1', 53297)
2024-01-06 21:41:47,268 - Received message from ('127.0.0.1', 53297): HUMIDITY|87.75|01.06.2024:21:41:47
2024-01-06 21:41:48,270 - Connection established with ('127.0.0.1', 53298)
2024-01-06 21:41:48,271 - Received message from ('127.0.0.1', 53298): ALIVE
2024-01-06 21:41:51,284 - Connection established with ('127.0.0.1', 53299)
2024-01-06 21:41:51,284 - Received message from ('127.0.0.1', 53299): ALIVE
2024-01-06 21:41:54,297 - Connection established with ('127.0.0.1', 53300)
2024-01-06 21:41:54,297 - Received message from ('127.0.0.1', 53300): ALIVE
2024-01-06 21:41:55,093 - Connection with ('127.0.0.1', 53256) closed.
2024-01-06 21:41:56,024 - Connection with ('127.0.0.1', 53258) closed.
2024-01-06 21:41:57,028 - Connection with ('127.0.0.1', 53259) closed.
2024-01-06 21:41:57,312 - Connection established with ('127.0.0.1', 53302)
2024-01-06 21:41:57,312 - Received message from ('127.0.0.1', 53302): ALIVE
2024-01-06 21:42:00,055 - Connection with ('127.0.0.1', 53260) closed.
2024-01-06 21:42:00,327 - Connection established with ('127.0.0.1', 53303)
2024-01-06 21:42:00,327 - Received message from ('127.0.0.1', 53303): ALIVE
2024-01-06 21:42:01,060 - Connection with ('127.0.0.1', 53261) closed.
2024-01-06 21:42:03,054 - Connection with ('127.0.0.1', 53264) closed.
2024-01-06 21:42:06,068 - Connection with ('127.0.0.1', 53266) closed.
2024-01-06 21:42:09,084 - Connection with ('127.0.0.1', 53267) closed.
2024-01-06 21:42:12,551 - Connection with ('127.0.0.1', 53269) closed.
2024-01-06 21:42:15,113 - Connection with ('127.0.0.1', 53278) closed.
2024-01-06 21:42:18,125 - Connection with ('127.0.0.1', 53280) closed.
2024-01-06 21:42:21,347 - Connection with ('127.0.0.1', 53281) closed.
2024-01-06 21:42:24,154 - Connection with ('127.0.0.1', 53282) closed.
2024-01-06 21:42:27,192 - Connection with ('127.0.0.1', 53284) closed.
2024-01-06 21:42:29,180 - Connection with ('127.0.0.1', 53285) closed.
2024-01-06 21:42:30,244 - Connection with ('127.0.0.1', 53286) closed.
2024-01-06 21:42:33,198 - Connection with ('127.0.0.1', 53287) closed.
2024-01-06 21:42:36,282 - Connection with ('127.0.0.1', 53290) closed.
2024-01-06 21:42:38,316 - Connection with ('127.0.0.1', 53291) closed.
2024-01-06 21:42:39,325 - Connection with ('127.0.0.1', 53292) closed.
2024-01-06 21:42:42,245 - Connection with ('127.0.0.1', 53293) closed.
2024-01-06 21:42:45,257 - Connection with ('127.0.0.1', 53295) closed.
2024-01-06 21:42:47,363 - Connection with ('127.0.0.1', 53297) closed.
2024-01-06 21:42:48,271 - Connection with ('127.0.0.1', 53298) closed.
2024-01-06 21:42:51,284 - Connection with ('127.0.0.1', 53299) closed.
2024-01-06 21:42:54,297 - Connection with ('127.0.0.1', 53300) closed.
2024-01-06 21:42:57,313 - Connection with ('127.0.0.1', 53302) closed.
2024-01-06 21:43:00,327 - Connection with ('127.0.0.1', 53303) closed.
2024-01-06 21:43:06,429 - Connection established with ('127.0.0.1', 53332)
2024-01-06 21:43:06,430 - Received message from ('127.0.0.1', 53332): ALIVE
2024-01-06 21:43:09,445 - Connection established with ('127.0.0.1', 53334)
2024-01-06 21:43:09,445 - Received message from ('127.0.0.1', 53334): ALIVE
2024-01-06 21:43:10,451 - Connection established with ('127.0.0.1', 53335)
2024-01-06 21:43:10,451 - Received message from ('127.0.0.1', 53335): HUMIDITY|82.11|01.06.2024:21:43:10
2024-01-06 21:43:12,460 - Connection established with ('127.0.0.1', 53336)
2024-01-06 21:43:12,460 - Received message from ('127.0.0.1', 53336): ALIVE
2024-01-06 21:43:15,473 - Connection established with ('127.0.0.1', 53337)
2024-01-06 21:43:15,474 - Received message from ('127.0.0.1', 53337): ALIVE
2024-01-06 21:43:18,488 - Connection established with ('127.0.0.1', 53338)
2024-01-06 21:43:18,489 - Received message from ('127.0.0.1', 53338): ALIVE
2024-01-06 21:43:21,499 - Connection established with ('127.0.0.1', 53339)
2024-01-06 21:43:21,499 - Received message from ('127.0.0.1', 53339): ALIVE
2024-01-06 21:44:06,462 - Connection with ('127.0.0.1', 53332) closed.
2024-01-06 21:44:09,505 - Connection with ('127.0.0.1', 53334) closed.
2024-01-06 21:44:10,480 - Connection with ('127.0.0.1', 53335) closed.
2024-01-06 21:44:12,510 - Connection with ('127.0.0.1', 53336) closed.
2024-01-06 21:44:15,474 - Connection with ('127.0.0.1', 53337) closed.
2024-01-06 21:44:18,489 - Connection with ('127.0.0.1', 53338) closed.
2024-01-06 21:44:21,499 - Connection with ('127.0.0.1', 53339) closed.
2024-01-06 21:44:29,682 - Connection established with ('127.0.0.1', 53371)
2024-01-06 21:44:29,682 - Received message from ('127.0.0.1', 53371): HUMIDITY|87.44|01.06.2024:21:44:29
2024-01-06 21:44:30,687 - Connection established with ('127.0.0.1', 53372)
2024-01-06 21:44:30,687 - Received message from ('127.0.0.1', 53372): ALIVE
2024-01-06 21:44:33,702 - Connection established with ('127.0.0.1', 53373)
2024-01-06 21:44:33,702 - Received message from ('127.0.0.1', 53373): ALIVE
2024-01-06 21:44:36,718 - Connection established with ('127.0.0.1', 53374)
2024-01-06 21:44:36,718 - Received message from ('127.0.0.1', 53374): ALIVE
2024-01-06 21:44:39,725 - Connection established with ('127.0.0.1', 53381)
2024-01-06 21:44:39,726 - Received message from ('127.0.0.1', 53381): ALIVE
2024-01-06 21:44:42,741 - Connection established with ('127.0.0.1', 53385)
2024-01-06 21:44:42,741 - Received message from ('127.0.0.1', 53385): ALIVE
2024-01-06 21:44:45,756 - Connection established with ('127.0.0.1', 53386)
2024-01-06 21:44:45,756 - Received message from ('127.0.0.1', 53386): ALIVE
2024-01-06 21:44:48,771 - Connection established with ('127.0.0.1', 53387)
2024-01-06 21:44:48,771 - Received message from ('127.0.0.1', 53387): ALIVE
2024-01-06 21:44:51,785 - Connection established with ('127.0.0.1', 53388)
2024-01-06 21:44:51,785 - Received message from ('127.0.0.1', 53388): ALIVE
2024-01-06 21:44:54,800 - Connection established with ('127.0.0.1', 53392)
2024-01-06 21:44:54,800 - Received message from ('127.0.0.1', 53392): ALIVE
2024-01-06 21:44:57,815 - Connection established with ('127.0.0.1', 53393)
2024-01-06 21:44:57,815 - Received message from ('127.0.0.1', 53393): ALIVE
2024-01-06 21:45:00,830 - Connection established with ('127.0.0.1', 53394)
2024-01-06 21:45:00,830 - Received message from ('127.0.0.1', 53394): ALIVE
2024-01-06 21:45:03,844 - Connection established with ('127.0.0.1', 53396)
2024-01-06 21:45:03,845 - Received message from ('127.0.0.1', 53396): ALIVE
2024-01-06 21:45:29,682 - Connection with ('127.0.0.1', 53371) closed.
2024-01-06 21:45:30,780 - Connection with ('127.0.0.1', 53372) closed.
2024-01-06 21:45:33,714 - Connection with ('127.0.0.1', 53373) closed.
2024-01-06 21:45:36,959 - Connection with ('127.0.0.1', 53374) closed.
2024-01-06 21:45:39,725 - Connection with ('127.0.0.1', 53381) closed.
2024-01-06 21:45:42,028 - Connection established with ('127.0.0.1', 53407)
2024-01-06 21:45:42,029 - Received message from ('127.0.0.1', 53407): ALIVE
2024-01-06 21:45:42,743 - Connection with ('127.0.0.1', 53385) closed.
2024-01-06 21:45:45,040 - Connection established with ('127.0.0.1', 53409)
2024-01-06 21:45:45,040 - Received message from ('127.0.0.1', 53409): ALIVE
